Nome,Quantidade de Episódios,Data de lançamento,Nota,Mais informações
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,1.0,2020.0,8.63,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
Suzume no Tojimari,1.0,2022.0,8.63,https://myanimelist.net/anime/50594/Suzume_no_Tojimari
Tengen Toppa Gurren Lagann,27.0,2007.0,8.63,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Mo Dao Zu Shi: Wanjie Pian,12.0,2021.0,8.62,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
Natsume Yuujinchou Roku,11.0,2017.0,8.62,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
Ping Pong the Animation,11.0,2014.0,8.62,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
Shingeki no Kyojin Season 3,12.0,2018.0,8.62,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
Cyberpunk: Edgerunners,10.0,2022.0,8.62,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
Death Note,37.0,2006.0,8.62,https://myanimelist.net/anime/1535/Death_Note
Evangelion: 3.0+1.0 Thrice Upon a Time,1.0,2021.0,8.61,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,1.0,2019.0,8.61,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
Suzumiya Haruhi no Shoushitsu,1.0,2010.0,8.61,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
Mushishi Zoku Shou: Suzu no Shizuku,1.0,2015.0,8.6,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
Hajime no Ippo: Rising,25.0,2013.0,8.59,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39.0,2018.0,8.58,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
Kizumonogatari II: Nekketsu-hen,1.0,2016.0,8.58,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
Natsume Yuujinchou San,13.0,2011.0,8.58,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
Ookami Kodomo no Ame to Yuki,1.0,2012.0,8.58,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
Natsume Yuujinchou Go,11.0,2016.0,8.57,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
Shouwa Genroku Rakugo Shinjuu,13.0,2016.0,8.57,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,1.0,2009.0,8.57,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
Yojouhan Shinwa Taikei,11.0,2010.0,8.57,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
Ousama Ranking,23.0,2021.0,8.56,https://myanimelist.net/anime/40834/Ousama_Ranking
Fruits Basket 2nd Season,25.0,2020.0,8.56,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
Karakai Jouzu no Takagi-san Movie,1.0,2022.0,8.56,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
Kenpuu Denki Berserk,25.0,1997.0,8.56,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
